condition,model,wer,entity_hit,latency_s
background-noise,deepgram,1.0,0.0,0.743
background-noise,faster_whisper,1.0,0.0,2.46
background-noise,whisper,1.0,0.0,4.041
code-switched,deepgram,1.0,0.0,0.47725
code-switched,faster_whisper,1.59375,0.75,1.66225
code-switched,whisper,1.69375,0.75,3.2
phone-call,deepgram,1.5,0.0,0.78325
phone-call,faster_whisper,1.70535,0.25,2.06825
phone-call,whisper,1.7366,0.25,8.63275
quiet-room,deepgram,1.24,0.0,1.4866
quiet-room,faster_whisper,1.62666,0.4,2.0788
quiet-room,whisper,2.0133400000000004,0.4,3.843
rushed-speech,deepgram,1.0,0.0,0.35200000000000004
rushed-speech,faster_whisper,1.9333333333333333,0.0,6.234999999999999
rushed-speech,whisper,2.2944333333333335,0.0,3.549666666666667
street-noise,deepgram,1.33335,0.0,1.0335
street-noise,faster_whisper,1.4762,0.0,1.7745000000000002
street-noise,whisper,1.4762,0.0,2.903
whispered,deepgram,1.0,0.0,0.984
whispered,faster_whisper,1.3333,1.0,1.796
whispered,whisper,1.3333,1.0,3.592
